ID,Time,P,R,F1,Task,Type,order,Ntime,Outlier
PV0,863,100.00,100.00,100.00,Enum,Untagged,ITEU,1135,no
PV1,625,100.00,88.89,94.12,Enum,Tagged,IUET,822,no
PV2,910,100.00,96.30,98.11,Enum,Untagged,ITEU,1197,no
PV3,520,100.00,88.89,94.12,Enum,Tagged,ETIU,684,no
PV4,567,100.00,96.30,98.11,Enum,Untagged,EUIT,746,no
PV5,428,100.00,100.00,100.00,Enum,Tagged,ETIU,563,no
PG0,930,100.00,81.48,89.80,Enum,Untagged,EUIT,1223,no
PG1,482,100.00,25.93,41.18,Enum,Untagged,ITEU,634,no
PG2,720,100.00,92.59,96.15,Enum,Tagged,ETIU,947,no
PG3,540,100.00,92.59,96.15,Enum,Untagged,EUIT,710,no
PG4,420,100.00,81.48,89.80,Enum,Tagged,IUET,552,no
PG5,360,100.00,100.00,100.00,Enum,Tagged,IUET,473,no
PC1,960,100.00,70.37,82.61,Enum,Untagged,ITEU,1262,no
PC2,747,100.00,88.89,94.12,Enum,Tagged,ETIU,982,no
PC3,940,100.00,100.00,100.00,Enum,Untagged,EUIT,1236,no
PG7,360,100.00,88.89,94.12,Enum,Tagged,IUET,473,no
PV0,430,100.00,86.67,92.86,IncDec,Tagged,ITEU,430,no
PV1,1193,97.53,60.00,74.29,IncDec,Untagged,IUET,1193,no
PV2,931,98.77,73.33,84.17,IncDec,Tagged,ITEU,931,no
PV3,420,100.00,60.00,75.00,IncDec,Untagged,ETIU,420,no
PV4,903,93.83,100.00,96.82,IncDec,Tagged,EUIT,903,no
PG0,992,100.00,93.33,96.55,IncDec,Tagged,EUIT,992,no
PG1,665,93.83,100.00,96.82,IncDec,Tagged,ITEU,665,no
PG3,300,100.00,93.33,96.55,IncDec,Tagged,EUIT,300,no
PG4,1020,100.00,93.33,96.55,IncDec,Untagged,IUET,1020,no
PG5,900,93.83,100.00,96.82,IncDec,Untagged,IUET,900,no
PC0,870,93.83,53.33,68.01,IncDec,Untagged,ETIU,870,no
PC1,365,100.00,93.33,96.55,IncDec,Tagged,ITEU,305,no
PC2,542,100.00,80.00,88.89,IncDec,Untagged,ETIU,542,no
PC3,930,100.00,100.00,100.00,IncDec,Tagged,EUIT,930,no
PG6,540,98.76,93.33,95.97,IncDec,Untagged,ETIU,540,no
PG7,660,97.53,100.00,98.75,IncDec,Untagged,IUET,660,no
