Participant,Task,R,Total,Percentage,Type,outlier
PV0,IncDec,13,15,86.66666667,Tagged,
PV0,Enum,27,27,100,Untagged,
PC0,IncDec,8,15,53.33333333,Untagged,
PG0,Enum,22,27,81.48148148,Untagged,
PG0,IncDec,14,15,93.33333333,Tagged,
PV1,IncDec,9,15,60,Untagged,
PV1,Enum,24,27,88.88888889,Tagged,
PG1,IncDec,15,15,100,Tagged,
PG1,Enum,7,27,25.92592593,Untagged,
PG2,Enum,25,27,92.59259259,Tagged,
PG3,Enum,25,27,92.59259259,Untagged,
PG3,IncDec,14,15,93.33333333,Tagged,
PG4,IncDec,14,15,93.33333333,Untagged,
PG4,Enum,22,27,81.48148148,Tagged,
PC1,IncDec,14,15,93.33333333,Tagged,
PC1,Enum,19,27,70.37037037,Untagged,
PC2,Enum,24,27,88.88888889,Tagged,
PC2,IncDec,12,15,80,Untagged,
PC3,Enum,27,27,100,Untagged,
PC3,IncDec,15,15,100,Tagged,
PG7,IncDec,15,15,100,Untagged,
PG7,Enum,24,27,88.88888889,Tagged,
PV2,IncDec,11,15,73.33333333,Tagged,
PV2,Enum,26,27,96.2962963,Untagged,
PV3,Enum,24,27,88.88888889,Tagged,
PV3,IncDec,9,15,60,Untagged,
PV4,Enum,26,27,96.2962963,Untagged,
PV4,IncDec,15,15,100,Tagged,
PG5,IncDec,15,15,100,Untagged,
PG5,Enum,27,27,100,Tagged,
PG6,IncDec,14,15,93.33333333,Untagged,
PV5,Enum,27,27,100,Tagged,
